engagement_id,sponsor_account_id,engagement_date,engagement_type,notes,outcome,created_at
1849f9cb-d073-447b-b0c8-2d6109110b28,cc4134d2-ee8f-4deb-9020-be0458256f7d,2023-04-22,program_sponsorship,Stale but historically valuable partner.,positive,2026-01-30 17:54:10.335404
4e76ef55-55d4-4b26-93c2-f8245125d26c,cc4134d2-ee8f-4deb-9020-be0458256f7d,2023-06-18,meeting,Stale but historically valuable partner.,declined,2026-01-30 17:54:10.335404
766a9eb2-2447-4f97-9d22-804cf9b8d355,cc4134d2-ee8f-4deb-9020-be0458256f7d,2023-11-18,meeting,Stale but historically valuable partner.,positive,2026-01-30 17:54:10.335404
53f3effe-be10-4fbe-a1bc-d00b8cfcc417,cc4134d2-ee8f-4deb-9020-be0458256f7d,2024-07-02,meeting,Stale but historically valuable partner.,no_response,2026-01-30 17:54:10.335404
d953c7bc-255a-4438-ac5b-71b749afbb45,cc4134d2-ee8f-4deb-9020-be0458256f7d,2024-04-07,meeting,Stale but historically valuable partner.,declined,2026-01-30 17:54:10.335404
80861e02-050e-4e58-9144-30380fb552e3,cc4134d2-ee8f-4deb-9020-be0458256f7d,2023-09-29,program_sponsorship,Stale but historically valuable partner.,positive,2026-01-30 17:54:10.335404
59866484-973b-4765-80ad-43489f35da67,cc4134d2-ee8f-4deb-9020-be0458256f7d,2023-06-11,outreach,Stale but historically valuable partner.,interested,2026-01-30 17:54:10.335404
81759195-1389-4b86-b637-84bd0f7ac3b2,cc4134d2-ee8f-4deb-9020-be0458256f7d,2024-12-22,outreach,Stale but historically valuable partner.,follow_up_needed,2026-01-30 17:54:10.335404
fb2070bc-4201-4f1d-82be-32cac7a8d816,a80a12cb-ec88-4436-96af-5dc1c69f2223,2023-02-11,program_sponsorship,Stale but historically valuable partner.,interested,2026-01-30 17:54:10.335404
698a9110-bc1a-47cf-8537-a9cc34c70e79,a80a12cb-ec88-4436-96af-5dc1c69f2223,2023-06-01,program_sponsorship,Stale but historically valuable partner.,no_response,2026-01-30 17:54:10.335404
85eeca95-a34a-4530-ade6-a525cfa08d52,a80a12cb-ec88-4436-96af-5dc1c69f2223,2023-12-31,meeting,Stale but historically valuable partner.,follow_up_needed,2026-01-30 17:54:10.335404
1f7fdb17-124a-4dc1-b860-4e7f44154818,a80a12cb-ec88-4436-96af-5dc1c69f2223,2023-02-20,outreach,Stale but historically valuable partner.,interested,2026-01-30 17:54:10.335404
07f03e6b-e8f0-4833-bab3-ce5313d814b9,a80a12cb-ec88-4436-96af-5dc1c69f2223,2023-09-24,program_sponsorship,Stale but historically valuable partner.,positive,2026-01-30 17:54:10.335404
c45b123e-63c2-4693-b9c0-34d02bd79dea,a80a12cb-ec88-4436-96af-5dc1c69f2223,2024-02-19,meeting,Stale but historically valuable partner.,follow_up_needed,2026-01-30 17:54:10.335404
944f168f-cdbf-401a-9b4b-140b4eedf259,a80a12cb-ec88-4436-96af-5dc1c69f2223,2024-07-17,program_sponsorship,Stale but historically valuable partner.,positive,2026-01-30 17:54:10.335404
29e6768f-41bb-4505-9bee-a6507ba3d6d8,a80a12cb-ec88-4436-96af-5dc1c69f2223,2024-04-18,program_sponsorship,Stale but historically valuable partner.,no_response,2026-01-30 17:54:10.335404
e2930e1d-13f0-4ef3-9552-8211b5d56bc8,7b01b6e6-9f14-4b5f-b2c6-44a3804804d1,2023-05-05,program_sponsorship,Stale but historically valuable partner.,positive,2026-01-30 17:54:10.335404
de09fa6b-efde-4c50-afcf-8ff51f354d29,7b01b6e6-9f14-4b5f-b2c6-44a3804804d1,2023-08-16,program_sponsorship,Stale but historically valuable partner.,no_response,2026-01-30 17:54:10.335404
eeeaf151-98aa-46e2-abe4-311811bc1b1f,7b01b6e6-9f14-4b5f-b2c6-44a3804804d1,2024-02-15,meeting,Stale but historically valuable partner.,positive,2026-01-30 17:54:10.335404
a61e516b-d878-4422-a3b8-60e3405f21a7,7b01b6e6-9f14-4b5f-b2c6-44a3804804d1,2024-08-19,outreach,Stale but historically valuable partner.,interested,2026-01-30 17:54:10.335404
b046a24f-8fad-49bb-bc1e-9823d405dec3,7b01b6e6-9f14-4b5f-b2c6-44a3804804d1,2023-03-18,program_sponsorship,Stale but historically valuable partner.,positive,2026-01-30 17:54:10.335404
