table,column,null_count,total_rows,null_percent
account_aliases,alias_id,0,53,0.00
account_aliases,account_id,0,53,0.00
account_aliases,alias_name,0,53,0.00
account_aliases,source_system,0,53,0.00
account_aliases,created_at,0,53,0.00
accounts,account_id,0,34,0.00
accounts,account_type,0,34,0.00
accounts,name_canonical,0,34,0.00
accounts,website,0,34,0.00
accounts,linkedin_url,34,34,100.00
accounts,industry_primary,0,34,0.00
accounts,created_at,0,34,0.00
applications,application_id,0,230,0.00
applications,contact_id,0,230,0.00
applications,opportunity_id,0,230,0.00
applications,status,0,230,0.00
applications,submitted_at,0,230,0.00
applications,created_at,0,230,0.00
applications,source_system,0,230,0.00
contacts,contact_id,0,200,0.00
contacts,contact_type,0,200,0.00
contacts,first_name,0,200,0.00
contacts,last_name,0,200,0.00
contacts,email,16,200,8.00
contacts,phone,67,200,33.50
contacts,linkedin_url,95,200,47.50
contacts,primary_school_account_id,38,200,19.00
contacts,created_at,0,200,0.00
entity_embeddings,embedding_id,0,0,0.00
entity_embeddings,entity_type,0,0,0.00
entity_embeddings,entity_id,0,0,0.00
entity_embeddings,content,0,0,0.00
entity_embeddings,embedding,0,0,0.00
entity_embeddings,created_at,0,0,0.00
etl_school_name_review_queue,queue_id,0,8,0.00
etl_school_name_review_queue,raw_school_name,0,8,0.00
etl_school_name_review_queue,suggested_account_id,8,8,100.00
etl_school_name_review_queue,confidence_score,8,8,100.00
etl_school_name_review_queue,status,0,8,0.00
etl_school_name_review_queue,notes,0,8,0.00
etl_school_name_review_queue,created_at,0,8,0.00
etl_school_name_review_queue,decided_at,8,8,100.00
experiences,experience_id,0,180,0.00
experiences,contact_id,0,180,0.00
experiences,opportunity_id,0,180,0.00
experiences,status,0,180,0.00
experiences,status_at,0,180,0.00
experiences,notes,0,180,0.00
opportunities,opportunity_id,0,10,0.00
opportunities,parent_opportunity_id,7,10,70.00
opportunities,name,0,10,0.00
opportunities,season,0,10,0.00
opportunities,year,0,10,0.00
opportunities,program_track,0,10,0.00
opportunities,level,7,10,70.00
opportunities,start_date,0,10,0.00
opportunities,end_date,0,10,0.00
opportunities,created_at,0,10,0.00
opportunity_sponsorships,sponsorship_id,0,7,0.00
opportunity_sponsorships,opportunity_id,0,7,0.00
opportunity_sponsorships,sponsor_account_id,3,7,42.86
opportunity_sponsorships,sponsor_display_name,0,7,0.00
opportunity_sponsorships,sponsored_amount_usd,0,7,0.00
opportunity_sponsorships,created_at,0,7,0.00
outreach_messages,message_id,0,120,0.00
outreach_messages,sponsor_account_id,0,120,0.00
outreach_messages,contact_id,0,120,0.00
outreach_messages,channel,0,120,0.00
outreach_messages,subject,41,120,34.17
outreach_messages,body,0,120,0.00
outreach_messages,sent_at,0,120,0.00
outreach_messages,created_at,0,120,0.00
partner_engagements,engagement_id,0,122,0.00
partner_engagements,sponsor_account_id,0,122,0.00
partner_engagements,engagement_date,0,122,0.00
partner_engagements,engagement_type,0,122,0.00
partner_engagements,notes,0,122,0.00
partner_engagements,outcome,0,122,0.00
partner_engagements,created_at,0,122,0.00
query_audit_log,query_id,0,0,0.00
query_audit_log,user_question,0,0,0.00
query_audit_log,generated_sql,0,0,0.00
query_audit_log,is_validated,0,0,0.00
query_audit_log,validation_notes,0,0,0.00
query_audit_log,executed_at,0,0,0.00
query_audit_log,created_at,0,0,0.00
work_experiences,work_experience_id,0,180,0.00
work_experiences,contact_id,0,180,0.00
work_experiences,company_account_id,0,180,0.00
work_experiences,company_name_raw,0,180,0.00
work_experiences,title,0,180,0.00
work_experiences,start_date,0,180,0.00
work_experiences,end_date,77,180,42.78
work_experiences,is_current,0,180,0.00
work_experiences,location_city,0,180,0.00
work_experiences,location_state,0,180,0.00
work_experiences,description,0,180,0.00
work_experiences,source_system,0,180,0.00
work_experiences,source_profile_url,180,180,100.00
work_experiences,source_payload,180,180,100.00
work_experiences,created_at,0,180,0.00
