engagement_id,sponsor_account_id,engagement_date,engagement_type,notes,outcome,created_at
dc3d3f6a-d592-43f1-ba17-98e096d15041,6356bcf5-f57f-46e5-b170-2304926a1549,2023-02-07,meeting,Stale but historically valuable partner.,no_response,2026-01-30 16:31:54.493259+00
171a96d2-4844-4e1c-9099-863164dfdaee,6356bcf5-f57f-46e5-b170-2304926a1549,2023-02-14,program_sponsorship,Stale but historically valuable partner.,positive,2026-01-30 16:31:54.493259+00
d70f5b3c-c572-4b90-8f90-822d41da3a3a,6356bcf5-f57f-46e5-b170-2304926a1549,2023-11-20,meeting,Stale but historically valuable partner.,follow_up_needed,2026-01-30 16:31:54.493259+00
81a6dd31-c738-43ce-96b3-79e078cb85cb,6356bcf5-f57f-46e5-b170-2304926a1549,2024-02-12,outreach,Stale but historically valuable partner.,declined,2026-01-30 16:31:54.493259+00
43069b89-2702-411c-b5d9-8d26e945501c,6356bcf5-f57f-46e5-b170-2304926a1549,2023-09-17,program_sponsorship,Stale but historically valuable partner.,no_response,2026-01-30 16:31:54.493259+00
2d73d942-e9c1-4cc3-b1c6-bbe704bc8431,6356bcf5-f57f-46e5-b170-2304926a1549,2023-10-20,meeting,Stale but historically valuable partner.,positive,2026-01-30 16:31:54.493259+00
24ed7aac-3ea9-4235-963a-5d9de42e3890,6356bcf5-f57f-46e5-b170-2304926a1549,2024-11-02,meeting,Stale but historically valuable partner.,interested,2026-01-30 16:31:54.493259+00
b9345fce-47a6-4835-abd8-10457f4be7b2,6356bcf5-f57f-46e5-b170-2304926a1549,2023-05-08,meeting,Stale but historically valuable partner.,declined,2026-01-30 16:31:54.493259+00
f95f00f0-a1d3-47d5-9bd9-9114579b40ce,3a475665-993f-4cb1-a932-b2b19796fe1a,2024-02-14,outreach,Stale but historically valuable partner.,declined,2026-01-30 16:31:54.493259+00
638f20a8-8ccd-4240-aa94-9087a4522a26,3a475665-993f-4cb1-a932-b2b19796fe1a,2024-01-31,meeting,Stale but historically valuable partner.,no_response,2026-01-30 16:31:54.493259+00
3e895367-6a73-48db-9835-ee3efca0d4c9,3a475665-993f-4cb1-a932-b2b19796fe1a,2024-05-23,outreach,Stale but historically valuable partner.,declined,2026-01-30 16:31:54.493259+00
3b388eff-51e6-473f-8e68-c26f2ccbeda5,3a475665-993f-4cb1-a932-b2b19796fe1a,2024-01-12,outreach,Stale but historically valuable partner.,interested,2026-01-30 16:31:54.493259+00
b8498582-4b25-4126-afaa-b423e5c2f916,3a475665-993f-4cb1-a932-b2b19796fe1a,2023-03-26,outreach,Stale but historically valuable partner.,declined,2026-01-30 16:31:54.493259+00
66f62c14-8201-4d15-abcc-05473f9ef790,3a475665-993f-4cb1-a932-b2b19796fe1a,2023-03-22,meeting,Stale but historically valuable partner.,follow_up_needed,2026-01-30 16:31:54.493259+00
43d52eb5-9be2-414e-ad50-ac1108f17961,3a475665-993f-4cb1-a932-b2b19796fe1a,2023-07-04,outreach,Stale but historically valuable partner.,interested,2026-01-30 16:31:54.493259+00
733c9050-d456-4ec4-b92d-3317befddbd7,3a475665-993f-4cb1-a932-b2b19796fe1a,2023-11-25,program_sponsorship,Stale but historically valuable partner.,positive,2026-01-30 16:31:54.493259+00
8a5e7884-30e3-47c9-a24b-360dcf65a4c3,3a475665-993f-4cb1-a932-b2b19796fe1a,2025-11-07,meeting,I public step example until challenge among community.,interested,2026-01-30 16:31:54.493259+00
996ec99c-7dbf-4cb0-addd-97be76bdc28e,6356bcf5-f57f-46e5-b170-2304926a1549,2025-09-09,outreach,Those effort member final east dream into fill hospital pay board leader.,declined,2026-01-30 16:31:54.493259+00
cbe00083-0142-4e1a-b7a0-3a5013f7edea,0d12e743-69ab-4a98-bc1d-c8cd40c7499d,2025-12-07,meeting,Growth chance career reach get as.,interested,2026-01-30 16:31:54.493259+00
